break,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Sp 2020 Book,Homework Assignment,Review Material,Time per homework,Book Type
/Electricity/Gauss's Law,Breaking Down the Gauss Law Integral,"Prof. Hemmick goes through and explains the different components of the Gauss Law integral formula, and how to find the electric field using the integral. ",https://apps.tlt.stonybrook.edu/vq/themmick/108/,8:09:00,7,0,7,3,3,,49:20:00,Class
/Opening Videos,Amazing Slime Experiment - Physics Girl (Lect. 8), ,https://apps.tlt.stonybrook.edu/vq/themmick/109/,0:52:00,8,0,7,3,3,,50:12:00,Class
/Electricity/Gauss's Law,Outsmarting Gauss's Law - Dot Product,"Prof. Hemmick continues the discussion of the Gauss Law equation, focusing on what the dot product means.",https://apps.tlt.stonybrook.edu/vq/themmick/110/,10:34:00,8,1,7,3,3,,60:46:00,Class
/Electricity/Gauss's Law,Outsmarting Gauss's Law - E dA,Prof. Hemmick goes over what the E dA portion of the Gauss Law equation means. ,https://apps.tlt.stonybrook.edu/vq/themmick/111/,5:47:00,8,1,7,3,3,,66:33:00,Class
/Electricity/Gauss's Law,Outsmarting Gauss's Law - Integral's Circle,Prof. Hemmick discusses the importance of the closed-surface integral (the circle on the integral symbol).,https://apps.tlt.stonybrook.edu/vq/themmick/112/,7:48:00,8,2,7,3,3,,74:21:00,Class
/Electricity/Gauss's Law,Gauss's Law Example Problem (part a),"Prof. Hemmick does a Gauss's Law example problem, to find the electric field outside a uniformly charged sphere. We use our brains to avoid calculus (effort)!",https://apps.tlt.stonybrook.edu/vq/themmick/113/,9:18:00,8,0,7,3,3,,83:39:00,Class
/Electricity/Gauss's Law,Gauss's Law Example Problem (part b),"We continue the uniformly charged sphere problem, and now find the electric field inside of the sphere. ",https://apps.tlt.stonybrook.edu/vq/themmick/114/,6:40:00,8,1,7,3,3,,90:19:00,Class
/Electricity/Gauss's Law,Gauss's Law Example Problem (part c),"Since we have solved for electric field inside and outside the uniformly charged sphere, Prof. Hemmick teaches how to graph electric field as a function of r (radius).",https://apps.tlt.stonybrook.edu/vq/themmick/115/,6:25:00,8,0,7,3,3,,96:44:00,Class
/Opening Videos,Thirsty Pilot Pours a Beverage Over Poland, ,https://apps.tlt.stonybrook.edu/vq/themmick/116/,2:30:00,9,0,8,3,3,,99:14:00,Class
/Electricity/Gauss's Law,Technique for Gauss's Law,Prof. Hemmick briefly covers the steps important to solving a Gauss Law problem.,https://apps.tlt.stonybrook.edu/vq/themmick/117/,3:20:00,9,0,8,3,3,,102:34:00,Class
/Electricity/Gauss's Law,Infinite Charged Rod (part a),"Prof. Hemmick lays the groundwork for an infinitely long rod of charge, by defining important regions to calculate electric field, and how to make a finite shape from an infinitely long object.",https://apps.tlt.stonybrook.edu/vq/themmick/118/,8:35:00,9,0,8,3,3,,111:09:00,Class
/Electricity/Gauss's Law,Infinite Charged Rod (part b),"Prof. Hemmick covers how to make a closed surface around the rod using a cylinder, and why to disregard the end caps of the cylinder he creates. He calculates the electric field in the region outside the rod.",https://apps.tlt.stonybrook.edu/vq/themmick/119/,11:51:00,9,2,8,3,3,,123:00:00,Class
/Electricity/Gauss's Law,Infinite Charged Rod (part c),"Prof. Hemmick calculates the electric field at a defined radius r, inside of the charged rod.",https://apps.tlt.stonybrook.edu/vq/themmick/120/,3:31:00,9,1,8,3,3,,126:31:00,Class
/Electricity/Gauss's Law,Infinite Charged Rod (part d),"Prof. Hemmick uses the electric field results we calculated for regions 1 and 2 to make a plot of electric field as a function of radius (outwards, from the center of the rod).",https://apps.tlt.stonybrook.edu/vq/themmick/121/,1:48:00,9,0,8,3,3,,128:19:00,Class
/Electricity/Gauss's Law,Conductors in an Electric Field,We do a thought experiment by placing a conductor in an electric field and describing the results.,https://apps.tlt.stonybrook.edu/vq/themmick/122/,5:22:00,9,1,8,3,3,,133:41:00,Class
/Electricity/Gauss's Law,Shell of Conductors Problem,"Prof. Hemmick defines a problem by placing a charge on the inside of a conducting shell, and calculates the electric field inside the shell, in the conducting region, and outside the shell using Gauss's Law.",https://apps.tlt.stonybrook.edu/vq/themmick/123/,11:08:00,9,0,8,3,3,,144:49:00,Class
/Midterm 1,NON-GRAPHING CALCULATOR,"For all exams in this course, you may only bring a NON-GRAPHING CALCULATOR. ",https://apps.tlt.stonybrook.edu/vq/themmick/393/,2:15:00,10,0,9,4,,M1,,Class
/Midterm 1,Exam Logistics,Prof. Hemmick explains some important information about the procedure of the exam and how to sign in to the test.,https://apps.tlt.stonybrook.edu/vq/themmick/394/,4:23:00,10,0,9,4,,M1,,Class
/Midterm 1,Exam Grading Techniques,Prof. H briefly talks about how the scores and grading will be handled for the first exam.,https://apps.tlt.stonybrook.edu/vq/themmick/124/,2:15:00,10,0,9,4,,M1,,Class
/Midterm 1,For Online Students,"Prof. H talks about the two options for taking the exam as an online student: in person on Stony Brook campus, at the time when the exam is offered, or at a certified testing center (which the student is responsible for organizing themselves).",https://apps.tlt.stonybrook.edu/vq/themmick/125/,6:01:00,10,0,9,4,,M1,,Class
/Electricity/Electric Potential,Electricity - What We've Learned,We briefly review what we've learned in the electricity unit so far. ,https://apps.tlt.stonybrook.edu/vq/themmick/126/,4:22:00,10,0,10,5,4,,4:22:00,Class
/Electricity/Electric Potential,Change in PE for Electric Force,"Prof. H reviews last semester's methods of solving force problems, and shows how they will be used to calculate the change in electric potential energy.",https://apps.tlt.stonybrook.edu/vq/themmick/127/,8:12:00,10,0,10,5,4,,12:34:00,Class
/Electricity/Electric Potential,Examining Potential Energy,"We take a look at the potential energy equation (derived from electric force), and examine what happens at certain distances from a point, as well as the potential between two positive charges, two negative charges, and a positive and negative charge.",https://apps.tlt.stonybrook.edu/vq/themmick/128/,4:53:00,10,1,10,5,4,,17:27:00,Class
/Electricity/Electric Potential,PE of a Collection of Charges,"Prof. Hemmick goes over how to get the potential energy of a cluster of charges, by starting with one charge and adding one charge at a time. He explains the difference between potential energy and just potential (V).",https://apps.tlt.stonybrook.edu/vq/themmick/129/,8:17:00,10,1,10,5,4,,25:44:00,Class
/Midterm 1,More for Online Students,Covers some pertinent information about testing centers and alternate exam versions for online students taking midterm 1.,https://apps.tlt.stonybrook.edu/vq/themmick/131/,3:13:00,11,0,9,4,,M1,,Class
/Electricity/Electric Potential,Electric Potential - PE Review,"We go over what we've covered for electric potential and electric potential energy so far, and re-derives the change in potential energy.",https://apps.tlt.stonybrook.edu/vq/themmick/132/,8:36:00,11,1,10,5,4,,34:20:00,Class
/Electricity/Electric Potential,Rutherford Experiment (part a),"Prof. Hemmick outlines an energy conservation problem using the Rutherford gold foil experiment, now including electric potential energy in the calculation.",https://apps.tlt.stonybrook.edu/vq/themmick/133/,9:24:00,11,0,10,5,4,,43:44:00,Class
/Electricity/Electric Potential,Rutherford Experiment (part b),We talk about unit conversions and making calculations simple. Prof. Hemmick also discusses the importance of noting the order of magnitude of your answer.,https://apps.tlt.stonybrook.edu/vq/themmick/134/,6:58:00,11,0,10,5,4,,50:42:00,Class
/Electricity/Electric Potential,PE and Force vs E Field and Potential,"Potential is to potential energy as (electric) field is to force. Prof. Hemmick teaches how to distinguish between the four, and the relations between them. ",https://apps.tlt.stonybrook.edu/vq/themmick/135/,9:56:00,11,0,10,5,4,,60:38:00,Class
/Electricity/Electric Potential,Brief Methodology for Solving Potential,Prof. Hemmick covers how the relationships between potential and field and potential energy and force are useful to solve for potential in different ways. ,https://apps.tlt.stonybrook.edu/vq/themmick/136/,2:53:00,11,0,10,5,4,,63:31:00,Class
/Opening Videos,Dominoes - Hardcore Mode - Smarter Every Day, ,https://apps.tlt.stonybrook.edu/vq/themmick/137/,0:46:00,12,0,11,5,4,,64:17:00,Class
/Electricity/Electric Potential,Partial Derivatives for Electric Field,"Prof. Hemmick continues the discussion about the relationship between electric potential and electric field, and potential energy and force. He introduces partial derivatives in order to solve the relationship equations. ",https://apps.tlt.stonybrook.edu/vq/themmick/138/,9:27:00,12,0,11,5,4,,73:44:00,Class
/Electricity/Electric Potential,Partial Derivatives in Higher Level Coordinate Systems,Prof. Hemmick introduces taking the partial derivative of the potential with respect to the specific coordinates of the coordinate system used.  ,https://apps.tlt.stonybrook.edu/vq/themmick/139/,4:07:00,12,1,11,5,4,,77:51:00,Class
/Electricity/Electric Potential,The Del Operator,"Prof Hemmick generalizes the partial derivative case for each different coordinate system, by defining electric field as being the negative gradient (del) of Potential. He explains the concept of the del operator and how it is used with respect to electric field.",https://apps.tlt.stonybrook.edu/vq/themmick/140/,13:07:00,12,0,11,5,4,,90:58:00,Class
/Electricity/Capacitors,Neutral Conductor and a Point Charge,Prof. Hemmick talks about electric field changing with a point particle and a neutral conductor in empty space.,https://apps.tlt.stonybrook.edu/vq/themmick/141/,5:36:00,12,1,11,5,4,,96:34:00,Class
/Electricity/Capacitors,Intro to Capacitors,"Prof. Hemmick introduces the capacitor as two conducting plates of charge Q, describes the electric field around such a device using Gauss's Law, and then derives the capacitance formula.",https://apps.tlt.stonybrook.edu/vq/themmick/142/,9:13:00,12,0,11,5,4,,105:47:00,Class
/Opening Videos,Backyard Science - Insane Party Tricks, ,https://apps.tlt.stonybrook.edu/vq/themmick/143/,0:36:00,13,0,9,4,,M1,,Class
/Midterm 1/Review,Gauss Law Review - Conductor-Insulator (part a),Starting a Gauss Law problem with conductor and insulator: the conducting and insulating object is defined and field regions 1-5 (I-V) are labelled and explained.,https://apps.tlt.stonybrook.edu/vq/themmick/144/,3:44:00,13,0,9,4,,M1,,Class
/Midterm 1/Review,Gauss Law Review - Conductor-Insulator (part b),"Here, we determine the electric field for the ""easy"" regions of the object: Completely outside, between the insulator and conductor, within the conductor, and inside the conductor around the point charge.",https://apps.tlt.stonybrook.edu/vq/themmick/145/,2:56:00,13,0,9,4,,M1,,Class
/Midterm 1/Review,Gauss Law Review - Conductor-Insulator (part c),"We examine the electric field within the insulator, using our Gauss Law symmetries rule. We define our area as well as what the Q_in would be, remembering that we have charge distributed within the volume of the insulator too.",https://apps.tlt.stonybrook.edu/vq/themmick/146/,10:29:00,13,0,9,4,,M1,,Class
/Midterm 1/Review,Gauss Law Review - Conductor-Insulator (part d),"Now, we write the final electric field for the insulator region (region 2), and plot the electric field for regions 1-5 as a function of radius. Prof. Hemmick reviews the important points of this particular Gauss Law system.",https://apps.tlt.stonybrook.edu/vq/themmick/147/,11:04:00,13,0,9,4,,M1,,Class
/Midterm 1/Review,Integrals Review - Partial Spherical Shell,"Prof. Hemmick reviews how to calculate the electric field via integration for a partial spherical shell, by breaking up the surface into point charges. Prof. Hemmick will select 1 of the 5 possible integrals for the exam. *NOTE* as the video cuts halfway through solving for the electric field integral, refer to the ""Integrals"" pdf in Review Materials, lines 101 to the end of the page.",https://apps.tlt.stonybrook.edu/vq/themmick/148/,7:41:00,13,0,9,4,,M1,,Class
/Electricity/Capacitors,Capacitors and Conductors - What We've Covered,"Since before Midterm 1. We review what capacitors are, and what happens to conductors in the presence of a point charge.",https://apps.tlt.stonybrook.edu/vq/themmick/149/,9:31:00,14,2,11,5,4,,115:18:00,Class
/Electricity/Capacitors,Review - Gauss Law for Capacitors,We do a review of the Gauss Law method to calculate electric field and potential from a capacitor. ,https://apps.tlt.stonybrook.edu/vq/themmick/150/,4:30:00,14,0,11,5,4,,119:48:00,Class
/Electricity/Capacitors,Voltage Slang,Prof. Hemmick explains the slang used when discussing voltage (potential drop) and how it is standard that the slang is used in this course and in the real world. ,https://apps.tlt.stonybrook.edu/vq/themmick/151/,6:54:00,14,0,11,5,4,,126:42:00,Class
/Electricity/Capacitors,Deriving Capacitance (Again),We derive where the capacitance formula comes from for a parallel plate capacitor with respect to charge Q and potential V.,https://apps.tlt.stonybrook.edu/vq/themmick/152/,2:37:00,14,0,11,5,4,,129:19:00,Class
/Electricity/Capacitors,What is Epsilon Naught?,"Prof. Hemmick goes over the permittivity of free space constant, as well as insulators in an electric field. This material is called a ""dielectric.""",https://apps.tlt.stonybrook.edu/vq/themmick/153/,8:54:00,14,1,11,5,4,,138:13:00,Class
/Electricity/Capacitors,The Dielectric Constant,"We rework the capacitance formula to account for the possibility a capacitor does not contain empty space, by changing epsilon naught to epsilon, and introducing the dielectric constant k.",https://apps.tlt.stonybrook.edu/vq/themmick/154/,7:54:00,14,0,11,5,4,,146:07:00,Class
/Electricity/Capacitors,Capacitors in Series and Parallel,"Prof. Hemmick introduces what a capacitor setup looks like for ""in series"" and ""in parallel,"" and why these setups essentially work as one capacitor. Also, he shows the logic in calculating potential drop (or voltage, V) depending on which capacitor you look at.",https://apps.tlt.stonybrook.edu/vq/themmick/155/,6:16:00,14,0,11,5,4,,152:23:00,Class
/Electricity/Capacitors,Parallel Capacitors - Charge and Voltage,Prof. Hemmick relates charge and voltage at different points in the parallel capacitor setup.,https://apps.tlt.stonybrook.edu/vq/themmick/156/,3:01:00,14,0,11,5,4,,155:24:00,Class
/Electricity/Capacitors,Voltage with Capacitance and Resistance,"Prof. Hemmick reviews voltage as a result of charge and capacitance (the proportionality constant in the denominator), and now introduces resistance (another proportionality constant) and its relationship to current and voltage.",https://apps.tlt.stonybrook.edu/vq/themmick/157/,8:32:00,15,0,12,5,4,,163:56:00,Class
/Electricity/Capacitors,Capacitor or Resistor Network,"In unison, Prof. Hemmick covers what capacitors or resistors look like in parallel and series.  ",https://apps.tlt.stonybrook.edu/vq/themmick/158/,4:03:00,15,2,12,5,4,,167:59:00,Class
/Electricity/Capacitors,"Charge, Current, & Voltage Through Series or Parallel","Prof. Hemmick works through how capacitors or resistors in series and parallel relate to charge, current, and voltage depending on the setup.",https://apps.tlt.stonybrook.edu/vq/themmick/159/,7:35:00,15,0,12,5,4,,175:34:00,Class
/Electricity/Capacitors,Deriving Total Capacitance & Resistance,"Prof. Hemmick simplifies our equations to derive the formulas for total capacitance and resistance of a network, depending on if the circuit components are in series or parallel.",https://apps.tlt.stonybrook.edu/vq/themmick/160/,4:46:00,15,0,12,5,4,,180:20:00,Class
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part a),"We set up identical capacitor and resistor networks, and the table which will simplify the networks.",https://apps.tlt.stonybrook.edu/vq/themmick/161/,7:42:00,15,0,12,5,4,,188:02:00,Class
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part b),"Prof. Hemmick goes step-by-step to reduce these complicated networks into equivalent circuits, and adds these simpler circuits into the table. We use the parallel and series formulas to calculate the resistances and capacitances of these new, simpler circuits.",https://apps.tlt.stonybrook.edu/vq/themmick/162/,6:15:00,15,0,12,5,4,,194:17:00,Class
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part c),"For the resistor network, we use V=I/R to fill out our table using our simplified circuits, as well as voltage in series and parallel to calculate voltages.",https://apps.tlt.stonybrook.edu/vq/themmick/163/,5:49:00,15,0,12,5,4,,200:06:00,Class
/Electricity/Capacitors,Simplifying Capacitor & Resistor Networks (part d),"For the capacitor network, we use V=Q/C to fill out our table like we did for the resistor network. Keep in mind the charge adding rules for capacitors, and voltage adding rules.  The potential energy of a capacitor is PE = (QV)/2 = (CV^2)/2 = (Q^2)/(2C)",https://apps.tlt.stonybrook.edu/vq/themmick/164/,5:07:00,15,0,12,5,4,,205:13:00,Class
/Electricity/Capacitors,Concept Comparisons,"Prof. Hemmick does a concept comparison for electric field, potential energy, potential, and force.",https://apps.tlt.stonybrook.edu/vq/themmick/165/,9:06:00,16,4,13,6,5,,9:06:00,Class
/Electricity/Capacitors,Intro to Kirchoff's Laws,"Prof. Hemmick explains the ""Loop Rule"" and ""Junction Rule"" of Kirchhoff's laws, which helps in describing the voltage and current at different points in a circuit. ",https://apps.tlt.stonybrook.edu/vq/themmick/166/,7:31:00,16,0,13,7,5,,16:37:00,Class
/Electricity/Capacitors,Kirchoff's Law Problem - Loop Rule,"We solve circuits using Kirchhoff's Laws which we can't solve using the previous lecture's method. In this section, Prof. Hemmick covers the ""Loop Rule.""",https://apps.tlt.stonybrook.edu/vq/themmick/167/,10:12:00,16,1,13,7,5,,26:49:00,Class
/Electricity/Capacitors,Kirchoff's Law Problem - Junction Rule,"Prof. Hemmick introduces the junction rule for our problem, and continues to solve for the voltage by considering if our chosen path takes us ""with"" the current whilst passing over a resistor, or ""against"" the current. ",https://apps.tlt.stonybrook.edu/vq/themmick/168/,8:35:00,16,0,13,7,5,,35:24:00,Class
/Electricity/Capacitors,Kirchoff's Law Problem - Simultaneous Equations,Prof. Hemmick explains simultaneous equations which we will use in order to calculate the circuit's voltages and currents. He explains how to define our equations with loop rule and junction rule so that each equation is independent from the last.  ,https://apps.tlt.stonybrook.edu/vq/themmick/169/,4:14:00,16,0,13,7,5,,39:38:00,Class
/Electricity/Capacitors,Kirchoff's Law Problem - Pop Goes the Weasel,Prof. Hemmick gives a warning about using shortcuts to solving simultaneous equations.,https://apps.tlt.stonybrook.edu/vq/themmick/170/,4:29:00,16,0,13,7,5,,44:07:00,Class
/Electricity/Capacitors,Kirchoff's Law Problem -  Cramer's Rule,"In order to solve our simultaneous equations, we use Cramer's Rule to simplify the process. Prof. Hemmick introduces Cramer's Rule, which will be elaborated on next lecture. ",https://apps.tlt.stonybrook.edu/vq/themmick/171/,4:49:00,16,0,13,7,5,,48:56:00,Class
/Electricity/Capacitors,Another DC Circuit Problem,"This lecture is taught by Professor Hobbs. Prof. Hobbs does another DC circuit example, like last lecture, which goes over how to use Kirchhoff's Law to find voltage at any point on the circuit, which in this case contains resistors and DC voltage sources. ",https://apps.tlt.stonybrook.edu/vq/themmick/172/,6:05:00,17,0,14,7,5,,55:01:00,Class
/Electricity/Capacitors,DC Circuit Loop Rule,"We discuss how to identify the unique current loops in the circuit using Kirchhoff's Law's ""Loop Rule.""",https://apps.tlt.stonybrook.edu/vq/themmick/173/,7:28:00,17,1,14,7,5,,62:29:00,Class
/Electricity/Capacitors,Writing Down the Equations,"Prof. Hobbs writes down the junction rule equation, and the loop rule equations in a system of simultaneous equations. ",https://apps.tlt.stonybrook.edu/vq/themmick/174/,5:01:00,17,0,14,7,5,,67:30:00,Class
/Electricity/Capacitors,Using Cramer's Rule to Solve Unknowns,"Returning back to where we left off last lecture, we go over how to use Cramer's Rule to solve for unknowns in simultaneous equations. In general, we used determinants and some matrix math.",https://apps.tlt.stonybrook.edu/vq/themmick/175/,13:19:00,17,0,14,7,5,,80:49:00,Class
