Folder,Title,Description,Link,Length,Lecture No.,No. Clicker questions,Book,Book Type,Homework Assignment,Review Material,Book Length
/Important Basics,What We Do Instead of Sig Digs,"Instead of using significant digits, we should keep enough digits to keep our answer right, but not too many that it's embarrassing! ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/5/,5:09,2,0,1,Lecture,1,,
/Important Basics,Using Units,"Ten hours is different from ten minutes. Here, we introduce why units are important, and do some unit conversions. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/400/,5:01,2,0,1,Lecture,1,,
/Important Basics,Identities,"We cover the different types of identities which ""leave something unchanged.""",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/401/,7:33,2,2,1,Lecture,1,,
/Important Basics,Conversions - Right or Wrong?,There are many ways to do unit conversions. Are some of these methods wrong?,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/402/,3:37,2,1,1,Lecture,1,,
/Kinematics/1D,What is 1D Motion?,"Motion in one dimension is introduced as a simple function of time, and a bunch of time derivatives.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/403/,3:52,2,0,2,Lecture,2,,
/Opening Videos,The Backwards Brain Bicycle (Lect. 3),"""Smarter Every Day"" shows us how our brain can be ""rewired"" to un-learn how to ride a bike.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/405/,2:33,3,0,2,Lecture,2,,
/Kinematics/1D,Motion in 1 Dimension,A continuation of last lecture's introduction to motion in one dimension. ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/406/,7:15,3,0,2,Lecture,2,,
/Kinematics/1D,Motion with Constant Acceleration,"This video covers force with constant acceleration, and integrating acceleration to get velocity by using definite integrals.",https://apps.tlt.stonybrook.edu/vq/evannieuwenh/10/,12:36,3,1,2,Lecture,2,,
/Kinematics/1D,Deriving the Equations of Motion,Prof. Hemmick works through the derivations of the basic equations of motion which will be used in this course.,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/11/,7:02,3,1,3,Lecture,3,,
/Kinematics/1D,The Six Questions of Kinematics,"We learn the well-formed ""when, where, and how fast?"" questions we can ask about motion.",https://apps.tlt.stonybrook.edu/vq/evannieuwenh/12/,13:16,3,0,3,Lecture,3,,
/Kinematics/1D,Well-Formed and Ill-Formed Information,"In order to solve a kinematics problem, we must describe velocity, time, and acceleration in a way that we can get more information than what was originally given.",https://apps.tlt.stonybrook.edu/vq/evannieuwenh/13/,8:17,3,0,3,Lecture,3,,
/Opening Videos,The World's Roundest Object (Lect. 4),Veritasium talks about what defined the kilogram,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/18/,1:09,4,0,3,Lecture,3,,
/Kinematics/1D,1D Equations of Motion,"Last class we derived the equations of motion in 1D, and now we briefly review and discuss them. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/8/,5:09,4,0,3,Lecture,3,,
/Kinematics/1D,Reviewing Well-Formed Questions,"We review how to create well-formed questions, which was introduced last lecture (when, where, how fast?).",https://apps.tlt.stonybrook.edu/vq/evannieuwenh/14/,11:13,4,0,3,Lecture,3,,
/Kinematics/1D,Definition of Success,"We cover how to identify ""success"" in a question and how to identify the process to solving this type of problem.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/15/,2:26,4,0,3,Lecture,3,,
/Kinematics/1D,A Definition of Success Problem,"You race your friend to grab the dollar on the floor. How can you define success in order to get there first, with the least effort?",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/16/,5:43,4,0,3,Lecture,3,,
/Kinematics/1D,Solving the Definition of Success Problem,"Since we've defined what we need to outline a definition of success problem, we walk through the problem step by step. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/408/,8:19,4,0,3,Lecture,3,,
/Kinematics/1D,The Pitfalls of Average Velocity,"We explain what average velocity is, and why is may be dangerous to use in physics. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/407/,4:47,4,1,3,Lecture,3,,
/Kinematics/2D,Vectors and a 2D Coordinate System,Prof. Hemmick teaches how to use vectors to describe motion in a 2-dimensional plane.,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/17/,9:02,4,1,3,Lecture,3,,
/Opening Videos,Which Tank Fills First? (Lect. 5),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/23/,2:19,5,0,4,Lecture,3,,
/Kinematics/2D,Review - Kinematics in 1D,We review the equations of motion in 1D,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/19/,4:39,5,0,4,Lecture,3,,
/Kinematics/2D,Review - Well-Formed Questions & Info,We review well-formed questions and well-formed information.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/20/,4:32,5,0,4,Lecture,3,,
/Kinematics/2D,Review - Definition of Success,"We review what ""defining success"" problems are.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/21/,3:01,5,0,4,Lecture,3,,
/Kinematics/2D,The Importance of Vectors,We can't describe position on a plane with just one number - we need two! Here's why vectors are important to use.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/22/,6:59,5,0,4,Lecture,3,,
/Kinematics/2D,"The ""Hat"" Direction","The ""hat"" notation strikes fear into the heart of students. Here's what it is, and why you shouldn't be afraid of it.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/409/,6:03,5,0,4,Lecture,3,,
/Kinematics/2D,Magnitude and Direction,"Prof. Hemmick teaches the formula for magnitude of a vector, direction of a vector, and the SohCahToa rules.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/410/,5:42,5,1,4,Lecture,3,,
/Kinematics/2D,Free Fall 1,"If it needs to be described with two or more numbers, it is a vector!",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/411/,7:06,5,1,4,Lecture,3,,
/Kinematics/2D,Free Fall 2,"We X-ify and Y-ify our equations of motion, as we would like to describe our motion of free fall by separating motion in the x direction, and the y direction.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/412/,4:55,5,0,5,Lecture,4,,
/Kinematics/2D,Projectile Motion,"A brief introduction to talking about projectile motion, and common TV misconceptions about velocity and acceleration.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/413/,5:55,5,0,5,Lecture,4,,
/Opening Videos,Mind-Blowing Magic Magnets (Lect. 6),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/27/,2:00,6,0,5,Lecture,4,,
/Kinematics/2D,Throwing a Basketball,Getting a basketball into the hoop is a definition of success problem. We discuss what parameters mean the basketball went in.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/24/,9:19,6,1,5,Lecture,4,,
/Kinematics/2D,Basketball Equations of Motion,"We build our equations of motion from our definition of success values for the basketball, and use the equations ""simultaneously.""",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/25/,10:54,6,0,5,Lecture,4,,
/Kinematics/2D,Slip and Fly Problem,"We set up a problem for the slip and fly problem, given a starting velocity and y=mx+b formula for the ""landing"" hill.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/26/,11:53,6,0,5,Lecture,4,,
/Kinematics/2D,Solving the Slip and Fly,"We use what is given and our simultaneous equations to find ""success"" or ""landing"" for the slip and fly problem.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/414/,6:49,6,0,5,Lecture,4,,
/Kinematics/2D,Projectile Salmon,We do another definition of success problem to calculate the minimum velocity of a projectile salmon. ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/415/,12:02,6,0,5,Lecture,4,,
/Opening Videos,The Broom Riddle (Lect. 7),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/30/,2:01,7,0,5,Lecture,,,
/Kinematics/2D,The Alfa Romeo HW Problem,"The Alpha Romeo has a lot of extraneous information, so we read through the problem to see what information is actually useful to build our equations of motion.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/28/,11:36,7,1,4,Lecture,3,,
/Kinematics/2D,Alfa Romeo Equations of Motion,We use our well-formed information about the position and time of the Alpha Romeo to build our simultaneous equations of motion.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/29/,6:59,7,0,4,Lecture,3,,
/Kinematics/2D,The Average Velocity Riddle,Average velocity is often dangerous to use in physics. Prof. H asks you to solve a riddle about Long Island traffic jams.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/416/,10:48,7,1,4,Lecture,3,,
/Newtonian Physics/Newton's Laws,History of Newton,Prof. Hemmick gives us some history about Isaac Newton and the backstory and controversy about his famed equations describing motion.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/417/,8:13,7,0,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Newton's Laws of Motion,"What we have done before is not quite ""physics,"" so what we do now is talk about ""cause and effect"" physics in terms of Newton's Three Laws of Motion. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/418/,10:21,7,0,5,Lecture,4,,
/Opening Videos,Levitating Barbecue (Lect. 8),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/35/,0:58,8,0,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Newton's Second Law,"We continue Newton's Second Law from last lecture, by examining the sum of the forces on an object equalling its mass and acceleration.",https://apps.tlt.stonybrook.edu/vq/evannieuwenh/31/,8:47,8,2,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,The Importance of Bookkeeping,"In order to avoid mistakes when solving force problems, we use free-body diagrams to keep track of all the forces on an object.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/32/,6:08,8,0,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Intro to Atwood's Machine,The Atwood's Machine is a great tool to learn about forces...If we make sure we don't fall into typical textbook traps.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/33/,8:32,8,1,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Free Body Diagram (M),"To simplify this problem, we draw free body diagrams separately for each object. Here, we draw the free body diagram for M, and orient our coordinate system accordingly.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/34/,10:46,8,0,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Writing Force Equations,"To solve for acceleration and tension, we write the force equation as ma = sum of the forces, and repeat this process of free body diagram and force equation for the smaller mass.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/419/,8:36,8,0,5,Lecture,4,,
/Newtonian Physics/Newton's Laws,Inclined Plane Free Body Diagram,"We draw the free body diagram for two masses on a pulley, but one on an inclined plane, and decide our coordinate system based off the direction of acceleration.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/420/,6:02,8,0,5,Lecture,4,,
/Opening Videos,The Controversial Physics of Curling,,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/38/,1:07,9,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Contact Forces (Friction),"Prof. Hemmick introduces a new force called friction, which will be applied in our inclined plane problem.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/36/,10:06,9,1,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Static Friction,"Static friction (F_s) is a variable force which is active as you push or pull an object, and your push and pull force is not large enough to move the object. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/37/,8:26,9,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Kinetic Friction,"Kinetic friction (F_k) is the type of friction which opposes sliding as you are already sliding (opposed to static friction, when the object is standing still). Prof. H also talks about anti-lock brakes.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/421/,7:19,9,1,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Inclined Plane with Friction,"From last class, we introduce friction into our incline plane free body diagram, as well as do a quick review of how we set up our coordinate system.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/422/,7:24,9,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Breaking Force Into Components,"Because our ""5g"" force doesn't line up with the coordinate system, we need to break it into components using our basic rules of trigonometry. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/423/,6:48,9,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Incline Plane Force Equations,"With all of our forces aligned to the coordinate system, we can now write the force equations in order to solve for acceleration.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/424/,10:42,9,1,6,Lecture,5,,
/Opening Videos,Entropic Time - ACapellaScience (Lect. 10),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/41/,0:48,10,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Newton's Third Law,"Newton's Third Law is best described as ""equal and opposite,"" and we discuss the difference between Newtonian pairs of equal and opposite forces, and just sheer coincidence.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/39/,8:06,10,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Equal and Opposite,"Prof. Hemmick tests our understanding of equal and opposite, and how to include equal and opposite forces in force diagrams.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/40/,8:13,10,1,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Third Law Problem,"We lay out an old Newton's Third Law exam problem, with an atwood's pulley, two blocks, and friction between them.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/425/,6:45,10,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Third Law Problem - Free Body Diagram 1,"To solve this equal and opposite force problem, we create a free body diagram for the top block and ensure that the equal and opposite forces and dealt with correctly. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/426/,6:30,10,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Third Law Problem - Free Body Diagram 2,"Continuing our free body analysis, we draw the free body diagram for the bottom block, keeping in mind our normal forces, frictions, and equal and opposite forces. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/427/,8:41,10,0,6,Lecture,5,,
/Newtonian Physics/Newton's Laws,Third Law Problem - Force Equations,"Now that we have our force equations, we can simultaneously solve for normal force and acceleration in our system.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/428/,12:20,10,1,6,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,"Speed, Velocity & Acceleration",We examine the relationship between velocity and acceleration in a given motion.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/42/,9:11,11,1,7,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,Deriving Acceleration -- Direction,We begin our derivation of acceleration in uniform circular motion by deducing the appropriate direction of the acceleration vector.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/43/,10:26,11,2,7,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,Deriving Acceleration -- Magnitude,We continue derivation of acceleration in uniform circular motion by solving for its magnitude.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/44/,11:43,11,0,7,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,"Centrifugal ""Force"" in Theory","Prof. Hemmick explains why centrifugal ""force"" is not a force at all, providing analogy to a car at a stop light.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/429/,9:44,11,1,7,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,"Centrifugal ""Force"" in Action","Prof. Hemmick talks about circular motion in a carnival ride, and outlines steps to solving problems in uniform circular motion: (1) Draw a FBD, (2) Choose coordinates, and (3) Use Newton's Second Law.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/430/,9:00,11,0,7,Lecture,5,,
/Opening Videos,The Magic of Butterfly Scales (Lecture 12),,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/49/,2:03,12,0,8,Lecture,5,,
/Exam Info/Midterm 1,Midterm 1 Info,"**NOTE** As these lectures were recorded in the past, disregard test dates and room assignments. These will be announced on Blackboard. Additionally, there may be some different topics on THIS YEAR's exam from what was reviewed in these lectures. Blackboard will reflect what topics will be testing on your upcoming Midterm 1. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/46/,2:24,12,0,8,Lecture,m1,,
/Exam Info/Midterm 1,What's Covered (OLD),Prof. Hemmick briefly discusses what is covered on midterm 1 for FALL 2018. Your results may vary. Check Blackboard for what to expect on midterm 1.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/47/,1:06,12,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Content of Exam,"We go over the general structure of the exam, and where to look for good practice problems (hint: Homeworks and Problem Solving (Extra Credit) videos!!)",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/48/,6:52,12,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Exam Procedure,"To get started on time, there is important procedure to be followed for these large proctored exams. Bring your writing utensils, your student ID, and a NON-GRAPHING CALCULATOR. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/431/,11:18,12,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Exam Grading,"The exam grading rubric is explained (about 75% for physics, 25% for math, and no double jeopardy except if simultaneous equations). ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/432/,2:48,12,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Remote Exams (Some Online Students),"Prof. Hemmick explains the process of taking exams as an online student who requires to take the test off-campus at a testing center. Additionally, some questions about exam technicalities are fielded. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/433/,9:00,12,0,8,Lecture,m1,,
/Newtonian Physics/Uniform Circular Motion,Banked Curve,Roads with banked curves makes turning a corner safer and easier. We go over why this is so.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/434/,7:34,12,1,7,Lecture,5,,
/Newtonian Physics/Uniform Circular Motion,Solving the Banked Curve,"We draw the free-body diagram of a car turning on a banked curve, and discuss what ""centripetal force"" really means.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/435/,9:36,12,1,7,Lecture,5,,
/Exam Info/Midterm 1,Review of Midterm 1 Info,"We go over what we need to know about midterm 1. NOTE that the topics on this midterm may vary, check Blackboard for more info. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/50/,12:22,13,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Review of Remote Exam Info,Some online students may opt to take the exam remotely at a testing center. This is a review of the information covered last lecture.,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/51/,5:01,13,0,8,Lecture,m1,,
/Exam Info/Midterm 1,Online Review Session,"In the past, Prof. Hemmick hosted 8-hour review sessions, which were recorded and placed online. You can find these on Blackboard.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/52/,7:18,13,0,8,Lecture,m1,,
/Exam Info/Midterm 1,More About Midterm 1,"Some students have questions about what will be on the test. Although this year it may be different, Prof. Hemmick's philosophy on testing certain units may be useful for you to know. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/436/,6:19,13,0,8,Lecture,m1,,
/Newtonian Physics/Newtonian Gravity,Newtonian Gravity,"The gravitational force equation is briefly reviewed, along with how to describe this force since it occurs between two masses (little m and big M). ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/437/,7:47,13,1,7,Lecture,5,,
/Newtonian Physics/Newtonian Gravity,Orbiting Problem,"When an object is in orbit, it is always falling! We introduce a circular orbit problem which leads us to one of Kepler's Laws.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/438/,13:03,13,1,7,Lecture,5,,
/Opening Videos,Camera Obscura in a Uhaul (Lect. 14),Physics Girl on Youtube shows the process of making a camera obscura from a pinhole mounted on the back of a Uhaul truck.,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/57/,0:53,14,0,8,Lecture,5,,
/Exam Info/Midterm 1,Again - Info on Midterm 1,Prof. H briefly covers important info for Midterm 1 i.e. no graphing calculator and the weekend review (recording can be found on Blackboard).,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/53/,3:07,14,0,8,Lecture,m1,,
/Energy and Momentum/,Speeding Up and Slowing Down,"We consider the forces which cause us to speed up and slow down, along with the mathematical methods used to describe this motion. ",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/54/,8:59,14,1,9,Lecture,6,,
/Energy and Momentum/,Dot Products,"We discuss dot products (scalar products) in order to help us describe motion, by examining the resultant vector of two vectors with the same starting point.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/55/,7:23,14,0,9,Lecture,6,,
/Energy and Momentum/,Force over Distance,"Using what we've learned about dot products, we now calculate force ""dotted"" over a distance (work).",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/56/,8:36,14,0,9,Lecture,6,,
/Energy and Momentum/,Cause and Effect,"Looking at our force dotted with distance, we take a look at the cause and effects of these mathematical descriptions of motion.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/439/,7:21,14,1,9,Lecture,6,,
/Energy and Momentum/,Improving the Work Formula,"In order to improve the work formula, the motion displacements must be infinitesimally small (hint: integrals!)",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/440/,7:58,14,1,9,Lecture,6,,
/Energy and Momentum/,Work in a Projectile Motion Problem,Prof. Hemmick breaks down a projectile motion problem by explaining the Work done on a calculator if a student were to throw it off a cliff. ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/441/,6:06,14,0,9,Lecture,6,,
/Opening Videos,Feeling Temperature with a Haptic Glove (Lect. 14),Destin from Smarter Every Day talks about virtual reality gloves which cause the user to feel temperature and pressure. ,https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/62/,1:02,15,0,9,Lecture,6,,
/Exam Info/Midterm 1,Post-Review Session Midterm Info,Review of important information about the upcoming first midterm.,https://apps.tlt.stonybrook.edu/vq/evannieuwenh/58/,5:55,15,0,8,Lecture,m1,,
/Energy and Momentum/,What We've Learned So Far ,We briefly go over what was introduced about work in last lecture.,,,15,0,9,Lecture,6,,
/Energy and Momentum/,Work Due to Gravity,"Prof. H teaches what work due to gravity looks like, by breaking down force over a distance. ",,,15,1,9,Lecture,6,,
/Energy and Momentum/,Work of a Spring,"Using the Hooke's Law formula for force due to a spring, we find the work done by a spring.",,,15,0,9,Lecture,6,,
/Energy and Momentum/,Conservative and Non-Conservative Work,"Sometimes we say energy is ""lost"" from a system, and this section we make the distinction between conservative work and non-conservative work.",,,15,0,9,Lecture,6,,
/Energy and Momentum/,Work vs. Change in Total Energy,"Work (non-conservative) = the change in total energy, and here we explain the ""two"" ways to describe this law.",,,15,0,9,Lecture,6,,
/Energy and Momentum/,Problem - Conservation of Energy at Different Moments ,"Prof. Hemmick does Work(NC) problem on a moving block, to compare total energy at different moments in time.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/61/,3:44,15,1,9,Lecture,6,,
/Exam Info/Midterm 1,Day Before Midterm 1: Info,"This video gives pertinent information about previous year's midterm 1, such as the topics covered, where the questions come from, room assignments, grading schema, and information for remote students and testing centers. Has time-specific information about when testing remote testing center form must be filled out by. Refer to Blackboard for THIS semester's specific info.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/63/,10:28,16,0,8,Lecture,m1,,
/Exam Info/Midterm 1 Review,Starting Banked Curve Problem,"To review for the midterm, the students select a banked curve problem to do. We make the distinction between a car moving too slow, and a car moving too fast, and what happens in either case. ",,,16,0,8,Lecture,m1,,
/Exam Info/Midterm 1 Review,Completing the Free-Body Diagram,"Tensions, normals, frictions, and gravity are all the forces that we need for all force force problems, even for centripetal motion problems! We also align our coordinate systems in this section and break them into components.",,,16,0,8,Lecture,m1,,
/Exam Info/Midterm 1 Review,Constructing the Force Equations,"Using our components, we build the force equations for the 'too slow' and 'too fast' scenarios.",,,16,0,8,Lecture,m1,,
/Exam Info/Midterm 1 Review,Atwood's Machine on a Ramp,"This is an overview of a two mass atwood's machine on a ramp. This problem uses kinetic friction, tension, and some other forces, and are summarized on a free-body diagram. Prof. Hemmick solves for the tension, normal force, and acceleration.",https://apps.tlt.stonybrook.edu/vq/users/evannieuwenh/65/,9:24,16,0,8,Lecture,m1,,
/Energy and Momentum/Energy,Basics of Energy Review,"We recall our definition of energy and basic properties, starting from our definition of work and evaluating its relationship to kinetic and potential energy.",,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,A Practice Problem -- Setup,"We set up a practice problem to solve involving newly learned concepts in total energy, kinetic energy, potential energy, and non-conservative forces.",,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,A Practice Problem -- Solving for v_2,We begin solving our practice problem by finding v_2.,,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,A Practice Problem -- Choosing Reference Energy,"Oftentimes in energy problems, we can compare energies at moments (1) and (2), or (1) and (3). Prof. Hemmick outlines some guidelines on which comparison to choose.",,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,A Practice Problem -- Solving for v_3,We continue solving our practice problem by finding v_3.,,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,A Practice Problem -- Solving for d,We finish solving our practice problem by figuring out work due to friction and solving for d.,,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,Energy Problems in General,"Prof. Hemmick explains how to use the above steps to solve general energy problems, and what creates difficulties in them.",,,17,,10,Lecture,6,,
/Energy and Momentum/Energy,Review of Work,We review the principles of work and its relation to energy.,,,18,,10,Lecture,6,,
/Energy And Momentum/Energy,An Application of Work,Prof. Hemmick gives a familiar example where the relationship between work and energy makes a problem easier to solve.,,,18,,10,Lecture,6,,
/Energy And Momentum/Momentum,Defining Impulse,"Multiplying force by distance got us a useful quantity in work. We try this strategy again, multiplying force by time to get impulse.",,,18,,11,Lecture,7,,
/Energy and Momentum/Momentum,Defining Systems,Work became useful when we could use it to ignore certain quantities. We see how Newton's Third Law allows us to consider only impulse external to a system.,,,18,,11,Lecture,7,,
